ts,epic,buyers_pct,sellers_pct
2026-03-05 14:05:56.160536+03,ETHUSD,85.48,14.52
2026-03-05 14:06:27.188823+03,ETHUSD,85.48,14.52
2026-03-05 14:10:25.403016+03,ETHUSD,85.48,14.52
2026-03-05 14:11:57.227296+03,ETHUSD,85.32,14.68
2026-03-05 14:12:27.322759+03,ETHUSD,85.32,14.68
2026-03-05 14:12:58.152353+03,ETHUSD,85.32,14.68
2026-03-05 14:13:28.979913+03,ETHUSD,85.32,14.68
2026-03-05 14:14:30.618549+03,ETHUSD,85.32,14.68
2026-03-05 14:16:35.055862+03,ETHUSD,85.26,14.74
2026-03-05 14:18:39.049091+03,ETHUSD,85.26,14.74
2026-03-05 14:20:48.593331+03,ETHUSD,85.26,14.74
2026-03-05 14:23:47.802041+03,ETHUSD,85.21,14.79
2026-03-05 14:24:19.461346+03,ETHUSD,85.21,14.79
2026-03-05 14:29:27.991327+03,ETHUSD,85.19,14.81
2026-03-05 14:29:58.902534+03,ETHUSD,85.19,14.81
2026-03-05 14:34:06.708363+03,ETHUSD,85.23,14.77
2026-03-05 14:34:38.042984+03,ETHUSD,85.23,14.77
2026-03-05 14:35:08.198218+03,ETHUSD,85.23,14.77
2026-03-05 14:47:45.227888+03,ETHUSD,85.14,14.86
2026-03-05 14:50:57.239542+03,ETHUSD,85.14,14.86
2026-03-05 14:51:57.027569+03,ETHUSD,85.14,14.86
2026-03-05 14:52:28.152267+03,ETHUSD,85.14,14.86
2026-03-05 14:53:58.945548+03,ETHUSD,85.24,14.76
2026-03-05 14:55:31.483097+03,ETHUSD,85.24,14.76
2026-03-05 14:58:08.837867+03,ETHUSD,85.24,14.76
2026-03-05 15:01:15.995984+03,ETHUSD,85.21,14.79
2026-03-05 15:02:19.877338+03,ETHUSD,85.21,14.79
2026-03-05 15:02:50.348287+03,ETHUSD,85.21,14.79
2026-03-05 15:03:52.24524+03,ETHUSD,85.21,14.79
2026-03-05 15:04:22.40704+03,ETHUSD,85.21,14.79
2026-03-05 16:07:10.329653+03,ETHUSD,85.22,14.78
2026-03-05 16:10:15.124964+03,ETHUSD,85.13,14.87
2026-03-05 16:17:15.448821+03,ETHUSD,85.22,14.78
2026-03-05 16:19:54.074611+03,ETHUSD,85.22,14.78
2026-03-05 16:36:34.890907+03,ETHUSD,84.91,15.09
2026-03-05 18:17:49.067368+03,ETHUSD,85.3,14.7
2026-03-05 18:21:24.038497+03,ETHUSD,85.3,14.7
2026-03-05 18:22:25.043177+03,ETHUSD,85.3,14.7
2026-03-05 18:23:57.515083+03,ETHUSD,85.32,14.68
2026-03-05 18:27:06.272806+03,ETHUSD,85.32,14.68
2026-03-05 18:28:08.65877+03,ETHUSD,85.32,14.68
2026-03-05 18:28:38.842372+03,ETHUSD,85.32,14.68
2026-03-05 18:30:10.795326+03,ETHUSD,85.42,14.58
2026-03-05 18:32:43.446999+03,ETHUSD,85.42,14.58
2026-03-05 18:33:13.924845+03,ETHUSD,85.42,14.58
2026-03-05 18:37:18.021979+03,ETHUSD,85.28,14.72
2026-03-05 18:38:19.624142+03,ETHUSD,85.28,14.72
2026-03-05 18:43:10.444682+03,ETHUSD,85.47,14.53
2026-03-05 18:44:42.563874+03,ETHUSD,85.47,14.53
2026-03-05 18:47:49.491586+03,ETHUSD,85.47,14.53
2026-03-05 18:49:19.99583+03,ETHUSD,85.46,14.54
2026-03-05 18:50:51.560172+03,ETHUSD,85.46,14.54
2026-03-05 18:51:52.593353+03,ETHUSD,85.46,14.54
2026-03-05 18:52:22.691227+03,ETHUSD,85.46,14.54
