id,timeframe,computed_at,start_time,end_time,rows,latest_close,latest_score,buyers_plus_sellers_mean_abs_diff
3884,5m,2026-03-02 17:11:49.339469+03,2026-01-31 02:10:00+03,2026-03-02 17:05:00+03,8608,1930.175,0.109860497857573,2.9716006607067384e-17
3886,30m,2026-03-02 17:11:49.648433+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,1450,1927.365,-0.11580056966008087,7.840471567008001e-17
3887,1m,2026-03-02 17:12:51.932025+03,2026-01-31 02:11:00+03,2026-03-02 17:10:00+03,42935,1929.535,0.04451901058488123,0
3889,15m,2026-03-02 17:12:52.900198+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3891,1m,2026-03-02 17:13:51.945504+03,2026-01-31 02:11:00+03,2026-03-02 17:11:00+03,42936,1931.475,0.04451901058488123,0
3893,15m,2026-03-02 17:13:52.65556+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3895,1m,2026-03-02 17:14:52.49244+03,2026-01-31 02:11:00+03,2026-03-02 17:12:00+03,42937,1933.815,0.04451901058488123,0
3897,15m,2026-03-02 17:14:53.27768+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3899,1m,2026-03-02 17:15:54.802176+03,2026-01-31 02:11:00+03,2026-03-02 17:13:00+03,42938,1932.425,0.06770746034793428,0
3901,15m,2026-03-02 17:15:55.541054+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3903,1m,2026-03-02 17:16:56.342078+03,2026-01-31 02:11:00+03,2026-03-02 17:14:00+03,42939,1931.485,-0.30065841120134096,0
3905,15m,2026-03-02 17:16:57.143379+03,2026-01-31 02:00:00+03,2026-03-02 17:00:00+03,2895,1931.485,-0.4400326322758604,6.872261347593369e-17
